text_indice	batch	text	DMesure	gold_score_20	gold_score_20_std	gold_score_20_label	gold_label_trunc	gold_label_maj	ANNOT1_LEVEL	ANNOT1_SUBLEVEL	ANNOT2_LEVEL	ANNOT2_SUBLEVEL	ANNOT3_LEVEL	ANNOT3_SUBLEVEL	old_gold_score_20_label	old_gold_label_trunc	old_gold_label_maj
422	1_1	« Sortir du syndrome Tarzan »    La brigade anti-négrophobie est un collectif antiraciste. Il existe depuis 2005. Pourquoi ce collectif ? Quelles sont ses actions? Explications avec Franco, le porte-parole du collectif.    Qu'est-ce que la négrophobie?  Tout ce qui est en rapport avec la peur, la haine, le mépris, le rejet des personnes et des cultures noires.    Comment s'est formée la brigade anti-négrophobie?   La brigade est née en 2005. Des incendies ont eu lieu en région parisienne. Ils ont révélé des discriminations raciales. Puis il y a eu la mort de Zyed et Bouna. Cela a posé la question du contrôle au faciès. Pourquoi les Noirs et les Arabes sont plus touchés par le contrôle au faciès ? La France veut combattre le racisme mais elle ne s'en donne pas les moyens.    Quelles ont été vos actions?  En 2005, on a occupé le plateau de Canal+. On a demandé la démission de l'animateur Marc Olivier Fogiel. Il avait été reconnu coupable d'incitation à la haine raciale. On s'est aussi enchaîné à l'Assemblée Nationale. La statue de Colbert est devant la Maison du Peuple. Colbert est le père du Code noir (1685) qui inscrivait que les noirs ne sont pas des êtres humains!    Quel a été votre parcours?  Petit, je ne recevais que des images négatives : le syndrome Tarzan. Quand un Blanc et un Noir regardent Tarzan, les deux s'identifient. Pourtant, l'un voudra se défriser les cheveux. Puis, j'ai appris que des Noirs s'étaient battus pour de grandes idées. Je suis travailleur social. Éduquer les mentalités est fondamental dans la lutte contre le racisme et la négrophobie.     Pour en savoir plus : WWW.BRIGADEANTINEGROPHOBIE.COM	Facile	14.333333333333334	3.055050463303893	Accessible	Accessible	Accessible	+Complexe	2	Accessible	1	Accessible	5	Accessible	Accessible	Accessible
1735	1_1	Les cultures en Afrique du Nord    Les trois pays du Maghreb que sont la Tunisie, le Maroc et l'Algérie ont quasiment les mêmes productions agricoles. Plus on va vers le sud, plus les cultures, les arbres et l'herbe deviennent rares en raison du manque d'eau.  Du nord au sud, la production se répartit comme suit :  - vigne, agrumes (oranges, citrons, mandarines), oliviers, légumes;  - céréales et élevage de moutons;  - dattes, dans les oasis du désert.  Mais l'importance de chaque production varie beaucoup d'un pays à l'autre. Ainsi, en Algérie, la vigne est en tête des productions; au Maroc, ce sont les céréales et l'élevage, tandis qu'en Tunisie, l'olive est prédominante.	Facile	10.0	3.0	Facile	Facile	Facile	Accessible	3	Facile	2	Facile	5	Facile	Facile	Facile
2084	1_1	Bienvenue à Gardanne    Gardanne est une ville située dans le département des Bouches du Rhône, dans le sud de la France.  C’est une ville avec beaucoup d’histoire.  Autrefois, les hommes de Gardanne travaillaient à la mine de Gardanne. Celle-ci n’existe plus aujourd’hui.  A Gardanne, de nombreuses activités et balades sont possibles :  Randonnées, visites, pêche.  Vous pourrez aussi découvrir nos événements festifs :  Le Marché de Noël, la Semaine Provençale, la Fête de la Saint-Jean et les Journées du Patrimoine.  Bonne visite à Gardanne.	Très Facile	7.0	5.291502622129181	Facile	Très Facile	Très Facile	Accessible	3	Très Facile	3	Très Facile	5	Facile	Très Facile	Facile
438	1_1	Le 8 octobre c’est la première journée paralympique ! Rendez-vous à la Bastille.    A 2 ans des Jeux Paralympiques de Paris 2024, le Comité d’Organisation des Jeux Olympiques et Paralympiques Paris 2024, l’Etat, le Comité Paralympique et Sportif Français (CPSF) et la Ville de Paris vous donnent rendez-vous le samedi 8 octobre sur la place de la Bastille, à Paris.  Ce sera la première Journée Paralympique en France.     Le 8 octobre,   La place de la Bastille vous permettra de voir ce que seront les Jeux Paralympiques de Paris en 2024 !  Y aura lieu une fête du sport aux couleurs des Jeux Paralympiques   Andrew Parsons, le président du Comité international Paralympique sera là.,  La place parisienne sera un terrain de jeux.   On pourra participer à des activités et regarder des démonstrations sportives.   Des artistes seront sur scène toute la journée.   Le soir il y aura un concert.     Une journée de Para sport et de fête  Durant cette journée vous pourrez :    - Rencontrer athlètes paralympiques français et internationaux ;    - Voir des exploits de champions paralympiques ;   - Essayer des sports paralympiques tels que  Le cécifoot, le tennis fauteuil, le basket fauteuil, le volley assis,    - Avec des Para athlètes   - Assister à des animations et écouter de la musique    - Vivre l’énergie des Jeux Paralympiques  Plus de détails seront donnés prochainement.	Très Facile	10.0	3.605551275463989	Facile	Accessible	Accessible	Accessible	3	Facile	1	Accessible	1	Facile	Facile	Accessible
133	1_1	Une destination à conseiller pour les vacances ?    Yann, 29 ans, Paris 20 : « À 1 h 30 de Paris, le Perche est une bonne destination pour se reposer. Je n’avais jamais eu l’occasion de visiter ce coin-là avant un pique-nique organisé par des amis dans cette région pendant les vacances d’été de l’année 2000. J’ai découvert des sentiers balisés autour des villages d’Auteuil ou de Mortagneau-Perche (circuits forêts et abbayes. Rens. : 02 33 94 67 25). J’y vais chaque année régulièrement depuis 5 ans maintenant. Pour dormir, je conseille le gîte de Mme Dejoie (tél. : 02 33 86 74 28)».  Vincent, 25 ans, Puteaux : « Il y a deux ans, sur les conseils d’une amie qui y était allée deux ans auparavant, je suis allé à Londres, en août, pour le carnaval de Notting Hill. C’était l’occasion de découvrir ce quartier mythique au rythme des sambas et sound systems. Les Antilles et la Jamaïque défilaient sur des chars. En Angleterre, j’aime le mélange des nationalités. J’avais réservé avec Anyway un séjour de 5 jours et 4 nuits avec petit déjeuner et transport en bus pour 200 euros. Cette année, j’y retourne pour la troisième fois consécutive et dans les mêmes conditions » !  Kateryna, 24 ans, Lyon : « Quand j’étais petite, j’allais souvent sur l’île de Majorque qui fait partie de l’archipel des Baléares, au large de l’Espagne. Puis, je n’y suis plus allée pendant quelques années afin de découvrir d’autres endroits. Mais, j’y retourne presque tous les ans maintenant depuis que mes parents y ont acheté une maison. Le paysage de calanques et de pinèdes y est magnifique. Sans compter les fabuleux canyons. La compagnie de ferries Transmediterranea propose la traversée entre Barcelone et Palma à 20 euros pour les moins de 26 ans ».	Facile	13.666666666666666	4.163331998932265	Accessible	Accessible	Accessible	+Complexe	2	Facile	4	Accessible	5	Accessible	Accessible	Accessible
1126	1_1	visitez une ville avec ses habitants.    Myrna  De la Bastille aux Champs-Élysées  Quelques mots sur moi : Je suis Parisienne depuis 1984. Chilienne d'origine, je vis à Paris depuis 32 ans et je connais très bien cette ville, que j'adore. Vous cherchez un « guide » qui propose des balades originales en petits groupes, en famille ou entre amis ?   À qui vous pouvez poser toutes les questions que vous voulez ? Je suis peut-être la guide qu'il vous faut ! N'hésitez pas à me contacter !  Langues parlées : espagnol, français, italien  Préparez une visite avec Myrna  David  le Paris des Parisiens  Quelques mots sur moi : J'habite depuis 1999 à Paris, je suis comédien.Je fais les visites des lieux habituels que les touristes aiment voir. Les personnes qui font des visites avec moi sont en général très satisfaites. J'aime aussi faire découvrir le Paris des Parisiens : les bistrots et cafés que fréquentent les gens qui vivent ici, des lieux où vous rencontrerez des gens à qui parler.  Langues parlées : anglais, français  Préparez une visite avec David  Valentine  Paris à votre image  Quelques mots sur moi : Je suis étudiante et je vis dans le 5e arrondissement que je connais comme ma poche ! J'aime faire visiter ma ville aux personnes qui souhaitent la découvrir. Je suis passionnée d'histoire et j'aime accompagner les visiteurs qui s'intéressent aux musées.  Langues parlées : anglais, français  Préparez une visite avec Valentine	Très Facile	8.833333333333334	3.685557397915997	Facile	Facile	Facile	Accessible	3	Facile	3	Facile	1	Facile	Facile	Facile
1994	1_1	Paroles d'hommes    « Quand je suis arrivé, j’ai appris le français en parlant a avec les gens, je n’ai pas suivi de cours, je me suis débrouillé. Plusieurs personnes m’ont aidé. Grâce à des contacts personnels, parfois autour d’un verre, j’ai pris confiance. Plus tard, j’ai inscrit les enfants au club de football. Je vais parfois jouer à la pétanque le samedi. On va souvent à la mer du Nord. J’ai adopté les frites que je mange au restaurant mais à la maison je préfère toujours couscous et les plats marocains. »  Ahmed 67 ans    « Mon intégration a été très bonne, c'est une question de temps. J’ai rencontré des gens, belges et marocains qui sont devenus des amis, comme ma famille. Je parle et j’écris l'arabe, que je mélange parfois avec le français. J’ai déjà eu des problèmes avec certains professeurs à l'école mais jamais avec l'administration. Je vais à la mosquée à Court-Saint-Etienne et je célèbre la fête du mouton. Ma femme prépare la cuisine traditionnelle et la viande hallal. Nos enfants mangent des frites et des beignets à la fête foraine. Ils reçoivent un cadeau à la Saint-Nicolas mais pas à Noël. »   Brahim, 55 ans	Très Facile	8.0	4.58257569495584	Facile	Facile	Facile	Accessible	3	Très Facile	4	Facile	2	Facile	Facile	Facile
235	1_1	Sport sur ordonnance.    En France, depuis le 1er mars 2017, les médecins peuvent prescrire des activités physiques pour accompagner le traitement de certaines maladies de longue durée.          Personnellement, je suis convaincue que le sport peut être recommandé pour de nombreux problèmes de santé, et pas seulement pour les maladies de longue durée. Si vous ne connaissez rien sur ce thème, voici quelques conseils et recommandations.     Le yoga   Tout le monde sait que le yoga est un excellent moyen pour lutter contre le stress, mais il a de nombreux autres bienfaits.   Je le recommande notamment aux personnes qui souffrent de problèmes digestifs ou de circulation sanguine. Attention, avant de vous inscrire à un cours, renseignez-vous sur les différents types de yoga (kundalini, hatha, ashtanga, vinyasa...), et choisissez celui qui vous convient le mieux.     La randonnée aquatique ou aqua-marche   Vous vous demandez peut-être ce que c'est. Ça consiste à marcher dans la mer, le long de la côte. Je le conseille particulièrement aux personnes en surpoids ou qui ont des problèmes de dos. Inefficace ? Pas du tout ! La plupart de mes patients n'ont plus mal. Attention, ne pratiquez jamais cette activité seul. La mer peut être dangereuse.     Le handball   Vous aimez les sports collectifs et le contact ne vous fait pas peur ? Alors je vous recommande d'essayer le handball ! C'est un sport complet qui vous permettra de travailler votre endurance et votre respiration. Précision importante : ne pratiquez pas ce sport si vous avez des problèmes aux articulations.     La marche nordique   Elle se pratique à l'aide de bâtons et fait travailler 80% des muscles du corps. Je la recommande pour tous types de maladies. C'est une excellente activité pour le cœur.	Facile	10.0	5.196152422706632	Facile	Accessible	Accessible	Accessible	3	Très Facile	4	Accessible	3	Facile	Facile	Facile
1932	1_1	La sensibilité écologique a connu au cours des dernières années une spectaculaire extension. Alors qu'il y a vingt ans à peine, elle paraissait être l'apanage de ceux que l'on appelait les «enfants gâtés» de la croissance, tout le monde ou presque se déclare aujourd'hui écologiste. Ou, au moins, prêt à prendre au sérieux la question de la protection de la nature, devenue «patrimoine commun» de l'humanité. Le phénomène est mondial, mais particulièrement net chez les Occidentaux, convaincus d'être menacés par les catastrophes écologiques, persuadés des dangers qui pèsent sur la planète et préoccupés par le monde qu'ils laisseront aux générations futures. Le consensus écologique concerne désormais de larges fractions de la population. Tous ceux qui font de la politique se disent «verts», les scientifiques veulent protéger la Terre, les industriels vendre du propre, les consommateurs commencer à modifier leurs comportements et les gens défendre leur cadre de vie.  Cet unanimisme est ambigu et, à l'évidence, tout le monde ne se fait pas la même idée de la nature. La sensibilité écologique s'incarne dans des clientèles, des programmes et des pratiques extrêmement variés et forme une véritable nébuleuse. Elle peut servir de cadre à ceux qui aspirent à une transformation totale de leur vie, comme à ceux qui n'y cherchent que des activités ponctuelles. Elle peut être l'occasion de nouveaux modes de consommation, d'une volonté de maintenir la diversité des milieux naturels et des cultures, etc. La recherche urgente de nouveaux rapports entre la personne et la planète peut ainsi prendre mille détours et cette variété constitue l'un des fondements de la vitalité actuelle de l'écologie.  D'après l'introduction de L'Équivoque écologique, P. Alphandéry, P. Bitoun et Y. Dupont, La Découverte, Essais, 1991.	+Complexe	16.666666666666668	3.2145502536643185	+Complexe	+Complexe	+Complexe	+Complexe	4	Accessible	3	+Complexe	3	+Complexe	Accessible	+Complexe
1931	1_1	L'histoire de l'eau en France.    C'est avec des seaux qu'on tirait l'eau et qu'on la distribuait, à la ville comme à la campagne, du Moyen Âge jusqu'au XIXe siècle. Au milieu du XVIIIe siècle, environ 2000 porteurs d'eau vivent à Paris. Les Parisiens boivent l'eau de la Seine au risque d'être malades: le choléra fait encore de nombreuses victimes à cette époque. Il faut attendre la fin du XVIIIe siècle pour que les eaux destinées à la boisson soient filtrées. À défaut de service d'évacuation, les eaux usées sont jetées dans la rigole creusée au milieu de la rue d'où elles rejoignent... la Seine!  Ce n'est qu'au milieu du XIXe siècle qu'un système de distribution d'eau à domicile sera organisé par le baron Haussmann et l'ingénieur Belgrand. Apparaissent alors les grandes sociétés de distribution: la Générale des Eaux en 1853, la Lyonnaise des Eaux en 1880. Paris et les grandes villes peuvent être fières d'offrir à leurs habitants «l'eau courante». Des aqueducs transportent une eau de bonne qualité qui provient de sources naturelles non polluées. Dans le même temps, on construit les premiers égouts, 400 km de canalisations entre 1850 et 1871. En 1884, il devient interdit de jeter ses eaux usées sur la chaussée. Le savant Louis Pasteur va démontrer l'existence des microbes invisibles dans l'eau et on apprendra à ne pas confondre une eau fraîche et claire et une «eau potable». Le traitement de l'eau va progressivement s'améliorer et s'étendre. Il faudra pourtant attendre la fin des années 1980 pour que tous les Français bénéficient du service d'eau à domicile. Et ce n'est qu'à la fin des années 2000 que toutes les communes seront raccordées à une station d'épuration.  Aujourd'hui, le principal danger de contamination de l'eau vient de l'emploi, par les agriculteurs, d'engrais et de pesticides.	Accessible	12.666666666666666	3.7859388972001824	Accessible	Accessible	Accessible	+Complexe	2	Facile	5	Accessible	1	Accessible	Accessible	Accessible
