q,Unnamed: 0,N1,N2,N3,N4
20,token-token-token-level-low/lexical_frequency,15832.09,15832.09,18310.95,18310.95
25,token-token-token-level-low/lexical_frequency,13550.68,13550.68,13550.68,13550.68
30,token-token-token-level-low/lexical_frequency,6501.82,6501.82,6587.77,6501.82
35,token-token-token-level-low/lexical_frequency,3315.95,4225.14,4463.72,2958.58
40,token-token-token-level-low/lexical_frequency,620.07,821.55,947.23,629.26
45,token-token-token-level-low/lexical_frequency,349.63800000000344,324.86,352.6460000000008,286.69
50,token-token-token-level-low/lexical_frequency,164.93,140.07,162.3,144.39
55,token-token-token-level-low/lexical_frequency,65.30800000000029,70.81,62.23,75.61
60,token-token-token-level-low/lexical_frequency,40.2,29.19,26.49,41.28
65,token-token-token-level-low/lexical_frequency,12.64,7.91,9.39,12.36
70,token-token-token-level-low/lexical_frequency,1e-10,1e-10,0.2,1e-10
75,token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
80,token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
85,token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
90,token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
95,token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
