,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.797,1.841,1.796,3.5
sentence-sentence-token-level/max_size_passive,2.262,1.951,1.919,2.0
sentence-sentence-token-level/max_size_named_entities,2.03,1.812,1.763,3.5
sentence-sentence-token-level/max_size_np_pp_modifiers,3.365,2.965,3.172,7.0
sentence-sentence-token-level/max_size_subordination,7.919,8.951,10.589,33.5
sentence-sentence-token-level/max_size_coordination,1.538,1.368,1.408,1.625
document-document-token-level/total_token_ratio_aux_verbs,0.036,0.033,0.029,0.0639
document-document-token-level/total_token_ratio_passive,0.007,0.005,0.006,0.0211
document-document-token-level/total_token_ratio_named_entities,0.116,0.089,0.078,0.157
document-document-token-level/total_token_ratio_subordination,0.218,0.315,0.368,0.7142
document-document-token-level/ratio_clitic_per_token,0.062,0.059,0.058,0.1523
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.009,0.0,-0.0,0.0077
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.061,0.056,0.056,0.1455
document-document-token-level/ratio_named_entities_per_token,0.057,0.05,0.046,0.0839
document-document-token-level/ratio_aux_verbs_per_token,0.018,0.016,0.014,0.0328
document-document-token-level/ratio_subordination_per_token,0.04,0.053,0.06,0.1337
document-document-token-level/ratio_passive_per_token,0.0,NA,NA,0.0103
document-document-token-level/sophisticated_ratio,0.462,0.436,0.44,0.6285
document-document-token-level/concrete_ratio,0.434,0.453,0.451,0.7372
document-document-token-level/hapax_legomena_lemma_ratio,0.376,0.3,0.304,0.6515
document-document-token-level/ratio_aux_verbs_per_verb,0.17,0.163,0.141,0.3997
document-document-token-level/ratio_subordination_per_verb,0.494,0.544,0.595,1.0239
document-document-token-level/ratio_passive_per_verb,0.026,0.029,0.033,0.1094
document-document-token-level/ratio_coordination_per_token,0.037,0.035,NA,0.0744
document-document-token-level/total_token_ratio_coordination,0.051,0.046,0.044,0.0976
sentence-sentence-sentence-level/parse_depth,4.177,4.421,4.736,9.0
sentence-sentence-sentence-level/words_after_verb,2.352,2.426,2.444,4.5
sentence-sentence-sentence-level/words_before_verb,1.75,1.865,1.828,6.0
sentence-sentence-sentence-level/sentence_length,14.6,15.616,18.058,52.5
document-document-document-level/word_count,132.492,203.866,232.506,438.375
document-document-document-level/sentence_count,10.864,14.772,14.848,28.0
document-document-document-level/lexical_diversity,0.956,0.977,0.982,1.0184
token-token-token-level-high/word_length,3.844,4.028,4.087,12.0
token-token-token-level-high/word_syllables,1.055,1.142,1.175,3.5
token-token-token-level-high/ortho_neighbors,10.265,9.94,9.451,34.5
token-token-token-level-high/ortho_neighbors_+freq_cum,20864.474,18731.365,18471.204,61344.765
token-token-token-level-high/age_of_acquisition,4.792,4.885,4.871,7.1007
token-token-token-level-high/complexity,1.478,1.58,1.593,3.5
token-token-token-level-low/familiarity,6.173,6.15,0.0,3.4464
token-token-token-level-low/lexical_frequency,9372.118,9511.559,9701.743,-27226.4
