,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,0.0,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,0.0,0.0,2.0
document-sentence-token-level/max_size_named_entities,3.0,3.0,3.0,3.0
document-sentence-token-level/max_size_np_pp_modifiers,3.0,6.0,7.0,7.5
document-sentence-token-level/max_size_subordination,5.0,14.0,21.0,26.5
document-sentence-token-level/max_size_coordination,1.0,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.02185792349726776,0.0273972602739726,0.023391901750972763
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.005633981637980972
document-document-token-level/total_token_ratio_named_entities,0.1016949152542373,0.08029197080291971,0.0653010033444816,0.0519882537782433
document-document-token-level/total_token_ratio_subordination,0.14035087719298245,0.25153374233128833,0.3372640376579087,0.4318848770732343
document-document-token-level/ratio_clitic_per_token,0.05,0.05829596412556054,0.044239535847492746,0.05119856454506966
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.05,0.056768558951965066,0.042985589358295356,0.04761753393305572
document-document-token-level/ratio_named_entities_per_token,0.05,0.04887218045112782,0.040057306590257885,0.031957644957581174
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.01092896174863388,0.0136986301369863,0.011633677324761744
document-document-token-level/ratio_subordination_per_token,0.025,0.04428044280442804,0.0547410102739726,0.06640726329442283
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.002816990818990486
document-document-token-level/sophisticated_ratio,0.5254237288135594,0.43805309734513276,0.43472906403940886,0.44060602994738973
document-document-token-level/concrete_ratio,0.3898305084745763,0.44921875,0.4491856461864407,0.4388057103064067
document-document-token-level/hapax_legomena_lemma_ratio,0.46511627906976744,0.2857142857142857,0.3047654024216524,0.27648174490279753
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.1111111111111111,0.14285714285714285,0.11774891774891774
document-document-token-level/ratio_subordination_per_verb,0.4,0.5,0.5833333333333334,0.6111660079051384
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.025353016688061617
document-document-token-level/ratio_coordination_per_token,0.031914893617021274,0.03184713375796178,0.031957446808510634,0.03266216304846856
document-document-token-level/total_token_ratio_coordination,0.03614457831325301,0.0398406374501992,0.038667309165492866,0.035802570525191965
sentence-sentence-sentence-level/parse_depth,3.0,4.0,4.0,5.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,9.0,12.0,15.0,17.0
document-document-document-level/word_count,77.0,190.0,227.0,283.5
document-document-document-level/sentence_count,5.0,15.0,13.5,16.0
document-document-document-level/lexical_diversity,0.9527126900142773,0.9818493150684932,0.9889754547177865,0.9888541168213865
token-token-token-level-high/word_length,3.0,3.0,3.0,3.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,7.0,7.0,7.0,6.0
token-token-token-level-high/ortho_neighbors_+freq_cum,3768.0200000000004,1736.08,2098.0,1091.04
token-token-token-level-high/age_of_acquisition,4.35483870967742,4.81646273637375,4.81646273637375,4.81646273637375
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.46428571428571,6.64285714285714,6.71428571428571,6.71428571428571
token-token-token-level-low/lexical_frequency,4000.41,4838.38,4225.14,2958.58
