,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.766,1.828,1.794,3.5
sentence-sentence-token-level/max_size_passive,2.263,1.966,1.957,2.0
sentence-sentence-token-level/max_size_named_entities,1.986,1.823,1.755,3.5
sentence-sentence-token-level/max_size_np_pp_modifiers,3.315,2.961,3.167,7.0
sentence-sentence-token-level/max_size_subordination,7.696,8.853,10.504,33.5
sentence-sentence-token-level/max_size_coordination,1.505,1.395,1.393,1.625
document-document-token-level/total_token_ratio_aux_verbs,0.036,0.033,0.03,0.0639
document-document-token-level/total_token_ratio_passive,0.006,0.0,0.006,0.0211
document-document-token-level/total_token_ratio_named_entities,0.115,0.092,0.079,0.157
document-document-token-level/total_token_ratio_subordination,0.245,0.312,0.369,0.7142
document-document-token-level/ratio_clitic_per_token,0.063,0.056,NA,0.1523
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.007,-0.0,0.0,0.0077
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.056,0.054,0.054,0.1455
document-document-token-level/ratio_named_entities_per_token,0.057,0.05,0.045,0.0839
document-document-token-level/ratio_aux_verbs_per_token,0.017,0.016,0.014,0.0328
document-document-token-level/ratio_subordination_per_token,0.042,0.052,0.058,0.1337
document-document-token-level/ratio_passive_per_token,NA,NA,-0.0,0.0103
document-document-token-level/sophisticated_ratio,0.451,0.438,0.437,0.6285
document-document-token-level/concrete_ratio,0.436,0.452,0.45,0.7372
document-document-token-level/hapax_legomena_lemma_ratio,0.352,0.3,0.303,0.6515
document-document-token-level/ratio_aux_verbs_per_verb,0.174,0.163,0.149,0.3997
document-document-token-level/ratio_subordination_per_verb,0.489,0.547,0.588,1.0239
document-document-token-level/ratio_passive_per_verb,0.024,0.028,0.031,0.1094
document-document-token-level/ratio_coordination_per_token,0.036,0.035,NA,0.0744
document-document-token-level/total_token_ratio_coordination,0.05,NA,0.045,0.0976
sentence-sentence-sentence-level/parse_depth,4.161,4.452,4.732,9.0
sentence-sentence-sentence-level/words_after_verb,2.356,2.422,2.47,4.5
sentence-sentence-sentence-level/words_before_verb,1.771,1.852,1.867,6.0
sentence-sentence-sentence-level/sentence_length,14.745,15.768,17.805,52.5
document-document-document-level/word_count,142.437,205.031,235.882,438.375
document-document-document-level/sentence_count,11.067,0.0,14.856,28.0
document-document-document-level/lexical_diversity,0.956,0.978,0.982,1.0184
token-token-token-level-high/word_length,3.869,4.026,4.1,12.0
token-token-token-level-high/word_syllables,1.053,1.142,1.178,3.5
token-token-token-level-high/ortho_neighbors,10.274,9.955,9.455,34.5
token-token-token-level-high/ortho_neighbors_+freq_cum,20616.038,18792.349,18451.34,61344.765
token-token-token-level-high/age_of_acquisition,4.781,4.884,4.865,7.1007
token-token-token-level-high/complexity,1.476,1.579,1.597,3.5
token-token-token-level-low/familiarity,6.174,6.152,0.0,3.4464
token-token-token-level-low/lexical_frequency,9323.037,9523.11,9609.153,-27226.4
