,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.2,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,3.8,3.0,3.0,3.0
sentence-sentence-token-level/max_size_named_entities,4.0,5.0,5.0,4.0
sentence-sentence-token-level/max_size_np_pp_modifiers,16.0,7.0,8.0,8.0
sentence-sentence-token-level/max_size_subordination,19.3,18.0,26.0,30.7
sentence-sentence-token-level/max_size_coordination,4.05,3.0,3.0,3.0
document-document-token-level/total_token_ratio_aux_verbs,0.14353,0.11365,0.08744,0.05988
document-document-token-level/total_token_ratio_passive,0.03835,0.02092,0.02031,0.02165
document-document-token-level/total_token_ratio_named_entities,0.29819,0.25991,0.22224,0.1367
document-document-token-level/total_token_ratio_subordination,0.5424,0.55667,0.64223,0.66577
document-document-token-level/ratio_clitic_per_token,0.17632,0.12961,0.12033,0.10974
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.07149,0.01185,0.01139,0.00835
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.16047,0.12642,0.11534,0.10974
document-document-token-level/ratio_named_entities_per_token,0.12905,0.11538,0.09679,0.08025
document-document-token-level/ratio_aux_verbs_per_token,0.06294,0.05474,0.04166,0.02825
document-document-token-level/ratio_subordination_per_token,0.08309,0.08959,0.1017,0.10865
document-document-token-level/ratio_passive_per_token,0.01722,0.01045,0.00994,0.0094
document-document-token-level/sophisticated_ratio,0.65473,0.66688,0.66422,0.62933
document-document-token-level/concrete_ratio,0.23852,0.24593,0.23082,0.26546
document-document-token-level/hapax_legomena_lemma_ratio,0.65587,0.51198,0.49546,0.5467
document-document-token-level/ratio_aux_verbs_per_verb,0.7,0.50728,0.46889,0.33802
document-document-token-level/ratio_subordination_per_verb,1.05,0.84518,0.875,0.93125
document-document-token-level/ratio_passive_per_verb,0.1325,0.125,0.11683,0.13011
document-document-token-level/ratio_coordination_per_token,0.07986,0.06873,0.07016,0.05402
document-document-token-level/total_token_ratio_coordination,0.17247,0.09043,0.11729,0.08125
sentence-sentence-sentence-level/parse_depth,8.0,7.0,8.0,9.0
sentence-sentence-sentence-level/words_after_verb,5.0,4.0,4.0,4.0
sentence-sentence-sentence-level/words_before_verb,4.0,4.0,4.0,4.0
sentence-sentence-sentence-level/sentence_length,35.2,32.0,39.0,49.0
document-document-document-level/word_count,190.5,307.8,335.15,327.35
document-document-document-level/sentence_count,22.3,31.4,29.0,22.35
document-document-document-level/lexical_diversity,1.0,1.0,1.0,1.0
token-token-token-level-high/word_length,9.0,9.0,10.0,10.0
token-token-token-level-high/word_syllables,2.0,3.0,3.0,3.0
token-token-token-level-high/ortho_neighbors,46.0,46.0,24.0,19.0
token-token-token-level-high/ortho_neighbors_+freq_cum,86631.11,86631.11,86631.11,86631.11
token-token-token-level-high/age_of_acquisition,7.05784,6.8109,6.88877,7.23915
token-token-token-level-high/complexity,4.0,4.0,4.0,4.0
token-token-token-level-low/familiarity,4.39286,4.13,4.04,4.04
token-token-token-level-low/lexical_frequency,9.7885,6.08,3.24,6.22
