q,Unnamed: 0,N1,N2,N3,N4
5,token-token-token-level-low/lexical_frequency,9.7885,6.08,3.24,6.22
10,token-token-token-level-low/lexical_frequency,23.45,16.28,13.65,19.433000000000025
15,token-token-token-level-low/lexical_frequency,47.09,36.44599999999998,26.69,43.72
20,token-token-token-level-low/lexical_frequency,64.05,68.24,50.61,69.53
25,token-token-token-level-low/lexical_frequency,109.6125,101.15,95.0,96.01
30,token-token-token-level-low/lexical_frequency,179.39,179.39,180.88,176.76
35,token-token-token-level-low/lexical_frequency,353.45,328.45,324.8,266.62
40,token-token-token-level-low/lexical_frequency,440.74,627.57,620.07,460.14800000000014
45,token-token-token-level-low/lexical_frequency,1541.96,1398.85,1341.76,853.31
50,token-token-token-level-low/lexical_frequency,4000.41,4838.38,4225.14,2958.58
55,token-token-token-level-low/lexical_frequency,6501.82,6501.82,6501.82,6198.24
60,token-token-token-level-low/lexical_frequency,6587.77,8732.57,8732.57,8296.08
65,token-token-token-level-low/lexical_frequency,15832.09,13550.68,13550.68,13550.68
70,token-token-token-level-low/lexical_frequency,15832.09,15832.09,15832.09,18310.95
75,token-token-token-level-low/lexical_frequency,18310.95,18310.95,18310.95,18310.95
80,token-token-token-level-low/lexical_frequency,18310.95,18310.95,18310.95,18310.95
85,token-token-token-level-low/lexical_frequency,18310.95,18310.95,18310.95,18310.95
90,token-token-token-level-low/lexical_frequency,19209.05,19209.05,20879.73,20879.73
95,token-token-token-level-low/lexical_frequency,38928.92,38928.92,38928.92,38928.92
