,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,5.0,3.5,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,5.0,5.0,5.0
document-sentence-token-level/max_size_named_entities,7.0,9.5,9.5,7.0
document-sentence-token-level/max_size_np_pp_modifiers,29.5,16.5,16.0,15.625
document-sentence-token-level/max_size_subordination,21.5,31.5,49.0,53.25
document-sentence-token-level/max_size_coordination,3.5,6.0,6.0,6.0
document-document-token-level/total_token_ratio_aux_verbs,0.1623,0.113,0.1019,0.0639
document-document-token-level/total_token_ratio_passive,0.0,0.022,0.022,0.0211
document-document-token-level/total_token_ratio_named_entities,0.4142,0.2401,0.1955,0.157
document-document-token-level/total_token_ratio_subordination,0.5601,0.6977,0.8173,0.7142
document-document-token-level/ratio_clitic_per_token,0.3074,0.1759,0.148,0.1523
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0046,0.0084,0.0092,0.0077
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.2432,0.1782,0.1491,0.1455
document-document-token-level/ratio_named_entities_per_token,0.1799,0.1397,0.1161,0.0839
document-document-token-level/ratio_aux_verbs_per_token,0.0812,0.0553,0.0505,0.0328
document-document-token-level/ratio_subordination_per_token,0.0742,0.1212,0.1228,0.1337
document-document-token-level/ratio_passive_per_token,0.0,0.01,0.01,0.0103
document-document-token-level/sophisticated_ratio,0.9477,0.8481,0.7422,0.6285
document-document-token-level/concrete_ratio,0.7233,0.7794,0.771,0.7372
document-document-token-level/hapax_legomena_lemma_ratio,0.9785,0.6828,0.6009,0.6515
document-document-token-level/ratio_aux_verbs_per_verb,0.5903,0.5072,0.5421,0.3997
document-document-token-level/ratio_subordination_per_verb,1.7056,1.0099,1.026,1.0239
document-document-token-level/ratio_passive_per_verb,0.0,0.0962,0.1124,0.1094
document-document-token-level/ratio_coordination_per_token,0.0837,0.0766,0.0704,0.0744
document-document-token-level/total_token_ratio_coordination,0.088,0.1101,0.0973,0.0976
sentence-sentence-sentence-level/parse_depth,5.5,8.0,10.5,9.0
sentence-sentence-sentence-level/words_after_verb,4.5,4.5,4.5,4.5
sentence-sentence-sentence-level/words_before_verb,6.0,6.0,6.0,6.0
sentence-sentence-sentence-level/sentence_length,23.5,30.5,41.5,52.5
document-document-document-level/word_count,193.75,384.0,458.5,438.375
document-document-document-level/sentence_count,19.25,36.5,32.5,28.0
document-document-document-level/lexical_diversity,1.1329,1.0324,1.0224,1.0184
token-token-token-level-high/word_length,9.5,12.0,12.0,12.0
token-token-token-level-high/word_syllables,2.5,1.0,3.5,3.5
token-token-token-level-high/ortho_neighbors,34.5,34.5,34.5,34.5
token-token-token-level-high/ortho_neighbors_+freq_cum,88212.295,61345.485,61339.02,61344.765
token-token-token-level-high/age_of_acquisition,7.4462,7.7236,7.7236,7.1007
token-token-token-level-high/complexity,1.0,3.5,3.5,3.5
token-token-token-level-low/familiarity,4.3071,3.4464,3.4464,3.4464
token-token-token-level-low/lexical_frequency,-27192.3938,-27213.55,-27228.925,-27226.4
