,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,1.3999999999999773,2.0,2.0
document-sentence-token-level/max_size_named_entities,3.5999999999999996,4.0,4.0,3.6999999999999993
document-sentence-token-level/max_size_np_pp_modifiers,9.6,8.0,9.0,9.0
document-sentence-token-level/max_size_subordination,10.6,17.0,27.0,32.0
document-sentence-token-level/max_size_coordination,2.0,2.0,3.0,2.6999999999999993
document-document-token-level/total_token_ratio_aux_verbs,0.04893564962074871,0.04411127607272373,0.04050302561014078,0.0336029846868821
document-document-token-level/total_token_ratio_passive,0.0,0.006377566594086404,0.007541516500600663,0.007720198089847895
document-document-token-level/total_token_ratio_named_entities,0.19766990291262138,0.11323697223278811,0.09690674053554939,0.07365021382751247
document-document-token-level/total_token_ratio_subordination,0.22998283051263183,0.344912985274431,0.4386105340339728,0.48332480207480205
document-document-token-level/ratio_clitic_per_token,0.10880737196526669,0.08103056327355393,0.06415654664050484,0.07452438353846805
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0026098131160539723,0.0031539116633762993,0.0028186574289614684
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.08888888888888888,0.07730649412892401,0.061218248767396864,0.07283424269339761
document-document-token-level/ratio_named_entities_per_token,0.08146067415730336,0.0647011551983927,0.05733173451272307,0.04593469023278729
document-document-token-level/ratio_aux_verbs_per_token,0.024467824810374354,0.022055638036361864,0.02025151280507039,0.015917231727837662
document-document-token-level/ratio_subordination_per_token,0.03500611995104039,0.06329156223893065,0.06823550465282749,0.07486846177653977
document-document-token-level/ratio_passive_per_token,0.0,0.00301601742342789,0.0035174461402561704,0.0038600990449239475
document-document-token-level/sophisticated_ratio,0.5679911086412892,0.5050413368513632,0.49824841209882753,0.4632351210326023
document-document-token-level/concrete_ratio,0.4624153582855867,0.5304664843814731,0.5123197115384613,0.4962465181058496
document-document-token-level/hapax_legomena_lemma_ratio,0.5521379636191827,0.3638039379974864,0.3539658678928287,0.37333333333333335
document-document-token-level/ratio_aux_verbs_per_verb,0.21333333333333332,0.2,0.2217391304347825,0.17977272727272728
document-document-token-level/ratio_subordination_per_verb,0.6608695652173913,0.6,0.6666666666666666,0.7075595238095237
document-document-token-level/ratio_passive_per_verb,0.0,0.03068181818181816,0.034367816091953995,0.03871428571428571
document-document-token-level/ratio_coordination_per_token,0.039881560138860524,0.041666666666666664,0.039339967069940585,0.038024542102399805
document-document-token-level/total_token_ratio_coordination,0.04728597449908925,0.05226504651604328,0.05199877675840978,0.05042960088691796
sentence-sentence-sentence-level/parse_depth,4.0,5.0,5.0,6.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,11.599999999999994,16.0,20.0,24.0
document-document-document-level/word_count,96.6,224.39999999999998,274.69999999999993,310.7
document-document-document-level/sentence_count,6.0,19.0,17.0,17.0
document-document-document-level/lexical_diversity,0.982175925925926,0.9899346041368124,0.993530208113414,0.9950077079391774
token-token-token-level-high/word_length,5.0,5.0,5.0,5.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,15.0,15.0,15.0,14.0
token-token-token-level-high/ortho_neighbors_+freq_cum,26951.099999999726,19149.1,21280.730000000003,19149.1
token-token-token-level-high/age_of_acquisition,4.88765294771969,5.24471635150167,5.1797619047619,5.03448275862069
token-token-token-level-high/complexity,1.0,1.0,2.0,2.0
token-token-token-level-low/familiarity,6.0,5.85714285714286,5.85714285714286,5.85714285714286
token-token-token-level-low/lexical_frequency,179.39,179.39,180.88,176.76
