,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,2.0,2.0,2.0
document-sentence-token-level/max_size_named_entities,4.0,5.0,5.0,4.0
document-sentence-token-level/max_size_np_pp_modifiers,16.4,9.0,11.600000000000023,10.0
document-sentence-token-level/max_size_subordination,11.0,20.0,30.0,38.60000000000001
document-sentence-token-level/max_size_coordination,2.4000000000000004,3.0,3.0,3.8000000000000007
document-document-token-level/total_token_ratio_aux_verbs,0.07543859649122807,0.052301864801864814,0.05551780821917811,0.03890591645693687
document-document-token-level/total_token_ratio_passive,0.0,0.010416666666666666,0.011848739495798321,0.011189347976912746
document-document-token-level/total_token_ratio_named_entities,0.20872093023255814,0.1388999476165532,0.12345384084514521,0.08579015046508909
document-document-token-level/total_token_ratio_subordination,0.26375227686703095,0.39680672268907563,0.4775087719298246,0.5468181818181819
document-document-token-level/ratio_clitic_per_token,0.14080418319509558,0.09473684210526317,0.08514178504422412,0.09161176987263944
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.012860520094562655,0.004288334556126193,0.0040291497975708515,0.0031546985291218107
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.10789758384421205,0.09175058488454889,0.08231680561649848,0.08841354723707666
document-document-token-level/ratio_named_entities_per_token,0.10479183032207384,0.08147681451612906,0.0689022461246441,0.047880498524275346
document-document-token-level/ratio_aux_verbs_per_token,0.037719298245614034,0.025794491525423745,0.026758620689655177,0.019085707937565963
document-document-token-level/ratio_subordination_per_token,0.04308116627265564,0.07095260029391771,0.07451992382850736,0.08452423063318004
document-document-token-level/ratio_passive_per_token,0.0,0.0045871559633027525,0.00532272523532049,0.005111261295086481
document-document-token-level/sophisticated_ratio,0.6000000000000001,0.5623366013071895,0.5320760249227708,0.4751207729468599
document-document-token-level/concrete_ratio,0.48526128154611126,0.5626744186046512,0.5507957311364913,0.5384810790105038
document-document-token-level/hapax_legomena_lemma_ratio,0.5859282617264486,0.4098656178302197,0.3876190476190477,0.39225490862150963
document-document-token-level/ratio_aux_verbs_per_verb,0.30000000000000004,0.25,0.26820512820512826,0.221256038647343
document-document-token-level/ratio_subordination_per_verb,0.75,0.6666666666666666,0.7238888888888889,0.7534290271132377
document-document-token-level/ratio_passive_per_verb,0.0,0.047619047619047616,0.05,0.058484848484848494
document-document-token-level/ratio_coordination_per_token,0.04895960832313342,0.0494455664367641,0.04506719834588687,0.04668213920291483
document-document-token-level/total_token_ratio_coordination,0.0594859241126071,0.06242211838006231,0.06113360323886641,0.06061927253643373
sentence-sentence-sentence-level/parse_depth,5.0,5.0,6.0,7.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/sentence_length,15.400000000000006,19.0,25.0,31.0
document-document-document-level/word_count,127.0,246.0,292.6,312.0
document-document-document-level/sentence_count,14.600000000000001,22.0,20.0,19.0
document-document-document-level/lexical_diversity,1.0,0.9940910973084887,0.9966813643647121,0.9971267474848904
token-token-token-level-high/word_length,6.0,6.0,7.0,7.0
token-token-token-level-high/word_syllables,2.0,2.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,18.0,18.0,18.0,17.0
token-token-token-level-high/ortho_neighbors_+freq_cum,61689.729999999996,35165.0,35229.90999999999,33818.649999999994
token-token-token-level-high/age_of_acquisition,5.78420467185762,5.78420467185762,5.7119021134594,5.63515016685206
token-token-token-level-high/complexity,2.0,2.0,2.0,3.0
token-token-token-level-low/familiarity,5.47,5.28,5.27,5.32000017166138
token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
