,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,0.9000000000000004,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,0.0,0.0,2.0
document-sentence-token-level/max_size_named_entities,3.0,3.0,3.0,3.0
document-sentence-token-level/max_size_np_pp_modifiers,5.700000000000001,6.0,8.0,8.0
document-sentence-token-level/max_size_subordination,5.9,14.0,22.0,27.1
document-sentence-token-level/max_size_coordination,1.9000000000000004,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.01333333333333334,0.02520047015802535,0.031413612565445025,0.025199362041467308
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.005698027573027574
document-document-token-level/total_token_ratio_named_entities,0.11763217809258791,0.08490998363338789,0.07514030200258398,0.05405143241366387
document-document-token-level/total_token_ratio_subordination,0.14329040686823444,0.28310262160699096,0.376238384292566,0.4471221534608324
document-document-token-level/ratio_clitic_per_token,0.06401639344262296,0.06216960352422908,0.04701890721151165,0.051940507580751485
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.06401639344262296,0.05907078161690708,0.04701890721151165,0.05035682654312577
document-document-token-level/ratio_named_entities_per_token,0.055,0.05213810579664239,0.04296505652620761,0.03370634700665189
document-document-token-level/ratio_aux_verbs_per_token,0.00666666666666667,0.012600235079012674,0.015706806282722512,0.011861675473760935
document-document-token-level/ratio_subordination_per_token,0.03200819672131148,0.04838986689566339,0.05823743097936647,0.07090162317422491
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.002849013786513787
document-document-token-level/sophisticated_ratio,0.5296508066162957,0.44798552036199096,0.44546783625730996,0.4487769199512393
document-document-token-level/concrete_ratio,0.4076000721240534,0.4776795977011494,0.4585856799207585,0.44998826005991416
document-document-token-level/hapax_legomena_lemma_ratio,0.481757529546321,0.3123163610285831,0.3208036611930295,0.2894563489888749
document-document-token-level/ratio_aux_verbs_per_verb,0.08571428571428574,0.12894736842105267,0.16233333333333338,0.12314532520325205
document-document-token-level/ratio_subordination_per_verb,0.4,0.5153917050691245,0.6,0.6365454545454545
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.030303030303030304
document-document-token-level/ratio_coordination_per_token,0.0326996860830136,0.03361384044003573,0.032985118583580206,0.033874875001760535
document-document-token-level/total_token_ratio_coordination,0.03712509612919764,0.043696757105018254,0.04201682026164852,0.038278021905948714
sentence-sentence-sentence-level/parse_depth,4.0,4.0,5.0,5.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,10.0,13.0,16.0,18.0
document-document-document-level/word_count,77.0,193.0,240.35000000000002,295.05
document-document-document-level/sentence_count,5.0,15.600000000000009,15.0,16.0
document-document-document-level/lexical_diversity,0.9540416125818979,0.9843700881557534,0.9903928375396265,0.9908700700995807
token-token-token-level-high/word_length,3.0,4.0,4.0,4.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,10.0,9.0,8.0,8.0
token-token-token-level-high/ortho_neighbors_+freq_cum,11242.619999999999,5258.94,7927.959999999999,4819.54
token-token-token-level-high/age_of_acquisition,4.35483870967742,4.81646273637375,4.81646273637375,4.81646273637375
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.42857142857143,6.46428571428571,6.46428571428571,6.64285714285714
token-token-token-level-low/lexical_frequency,65.30800000000029,70.81,62.23,75.61
